mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dropout_rate,param_hidden_layers,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21.113550821940105,0.2486784528390571,1.3713014125823975,0.13611118395945754,0.0,2,32,"{'dropout_rate': 0.0, 'hidden_layers': 2, 'neurons': 32}",-0.22570325559720653,-0.22570174193387313,-0.22815542321220103,-0.22652014024776024,0.0011563198384348208,21
23.41092300415039,0.5709182919246065,1.2864911556243896,0.2848823953479093,0.0,2,64,"{'dropout_rate': 0.0, 'hidden_layers': 2, 'neurons': 64}",-0.2243156723642934,-0.2233929693140798,-0.22648322558145564,-0.22473062241994293,0.001295262807573972,15
25.773025433222454,0.6959375103174402,1.454971710840861,0.6841441995104374,0.0,2,128,"{'dropout_rate': 0.0, 'hidden_layers': 2, 'neurons': 128}",-0.22324216354114437,-0.22191007331302906,-0.22404611915706138,-0.2230661186704116,0.0008808771421469336,9
25.484669367472332,1.2389422875791591,1.681857983271281,1.011612999140301,0.0,3,32,"{'dropout_rate': 0.0, 'hidden_layers': 3, 'neurons': 32}",-0.2267120928742985,-0.22451843963004203,-0.2276324674193605,-0.22628766664123368,0.0013062402761735952,20
14.8219100634257,0.6663244548957655,0.7935825188954672,0.11015259422132828,0.0,3,64,"{'dropout_rate': 0.0, 'hidden_layers': 3, 'neurons': 64}",-0.22324253179254017,-0.22216578898573505,-0.22512222375556287,-0.22351018151127935,0.001221707525287892,12
18.809522310892742,1.6740254015242637,1.1547926266988118,0.47041141408199466,0.0,3,128,"{'dropout_rate': 0.0, 'hidden_layers': 3, 'neurons': 128}",-0.2225258567957508,-0.21951767064337216,-0.22155263995901087,-0.22119872246604463,0.0012533260218877034,4
20.588176886240642,2.6270995218018127,1.8919367790222168,1.140230622255888,0.0,4,32,"{'dropout_rate': 0.0, 'hidden_layers': 4, 'neurons': 32}",-0.22657241389794355,-0.22501666159979575,-0.2245325892520004,-0.22537388824991322,0.0008702219280983828,17
19.3150954246521,2.5929085562692147,1.1002790927886963,0.4927549699788563,0.0,4,64,"{'dropout_rate': 0.0, 'hidden_layers': 4, 'neurons': 64}",-0.2207847427661848,-0.22118977961464567,-0.22224368363524083,-0.22140606867202375,0.000614932425613648,5
37.41814947128296,11.934698501982487,1.9011683464050293,0.4419613841263196,0.0,4,128,"{'dropout_rate': 0.0, 'hidden_layers': 4, 'neurons': 128}",-0.22056861508612036,-0.21806949763846742,-0.22326659533584067,-0.2206349026868095,0.0021222239362697543,2
26.035166660944622,2.9303074526542074,1.354469617207845,0.6177980520208136,0.1,2,32,"{'dropout_rate': 0.1, 'hidden_layers': 2, 'neurons': 32}",-0.22710444040773606,-0.2259592331771065,-0.22914372318724816,-0.2274024655906969,0.0013170316152702703,24
20.713531732559204,2.1325842088270637,1.4355851014455159,0.5743275178386813,0.1,2,64,"{'dropout_rate': 0.1, 'hidden_layers': 2, 'neurons': 64}",-0.22368507974541338,-0.22318948694334995,-0.22645824595767017,-0.2244442708821445,0.001438396041891394,14
34.81956505775452,7.9422170636356695,1.107746998469035,0.18256979230411796,0.1,2,128,"{'dropout_rate': 0.1, 'hidden_layers': 2, 'neurons': 128}",-0.22274197880626057,-0.22037058829601774,-0.22360683801246184,-0.2222398017049134,0.001368080026322587,6
20.947352250417072,0.9035134232348593,2.007815678914388,1.1976926253644373,0.1,3,32,"{'dropout_rate': 0.1, 'hidden_layers': 3, 'neurons': 32}",-0.22476143448226502,-0.22292502121205782,-0.22781120286215617,-0.22516588618549302,0.002015172228309114,16
25.452101230621338,2.4348693216613317,1.0392869313557942,0.5012506515462719,0.1,3,64,"{'dropout_rate': 0.1, 'hidden_layers': 3, 'neurons': 64}",-0.22181405592168124,-0.22081863563313886,-0.22476944607085578,-0.22246737920855864,0.0016777662265793443,7
24.322220245997112,1.8253470726940968,1.2586264610290527,0.26478591449259065,0.1,3,128,"{'dropout_rate': 0.1, 'hidden_layers': 3, 'neurons': 128}",-0.22022019677983576,-0.21869630000027784,-0.22135100438318797,-0.22008916705443385,0.0010877317168814299,1
28.006530443827312,0.9184333577110969,1.7222744623819988,0.4945915283007549,0.1,4,32,"{'dropout_rate': 0.1, 'hidden_layers': 4, 'neurons': 32}",-0.22580427280191917,-0.2240006161876468,-0.22685124785622732,-0.22555204561526443,0.0011773527205116738,18
30.75836769739787,0.2247322449087002,1.7607485453287761,0.27350566303302987,0.1,4,64,"{'dropout_rate': 0.1, 'hidden_layers': 4, 'neurons': 64}",-0.22351639327570175,-0.22153155382084,-0.22318963305164594,-0.2227458600493959,0.0008689448672723649,8
45.94902682304382,4.25264426861066,2.4107565879821777,1.2044665955303138,0.1,4,128,"{'dropout_rate': 0.1, 'hidden_layers': 4, 'neurons': 128}",-0.22042862180003645,-0.21994743197373737,-0.2228880505763889,-0.22108803478338757,0.001287873843077318,3
25.99952022234599,3.3733384639819564,1.6013474464416504,0.2878671934302042,0.3,2,32,"{'dropout_rate': 0.3, 'hidden_layers': 2, 'neurons': 32}",-0.23283522092915607,-0.2344415631127246,-0.23080446006294594,-0.23269374803494222,0.0014882071055524577,26
22.98054114977519,0.5417376458513925,1.8125277360280354,0.8735015537706707,0.3,2,64,"{'dropout_rate': 0.3, 'hidden_layers': 2, 'neurons': 64}",-0.22606530805770145,-0.2258416592168732,-0.22773525950239756,-0.2265474089256574,0.0008448851777992921,22
29.495416084925335,1.8637412706087246,1.8722997506459553,0.9678464960974195,0.3,2,128,"{'dropout_rate': 0.3, 'hidden_layers': 2, 'neurons': 128}",-0.22288794178356539,-0.2216554242973839,-0.22536584237519797,-0.22330306948538245,0.0015429514649213166,10
23.701837142308552,7.348976202071213,0.6854116121927897,0.056735864058999726,0.3,3,32,"{'dropout_rate': 0.3, 'hidden_layers': 3, 'neurons': 32}",-0.22952429359847382,-0.22877143297338845,-0.2331951093773299,-0.2304969453163974,0.0019324883363135467,25
20.29887779553731,3.47096153227783,0.9969256718953451,0.26563005857807903,0.3,3,64,"{'dropout_rate': 0.3, 'hidden_layers': 3, 'neurons': 64}",-0.22566592523935736,-0.22448771239560614,-0.22748593581289714,-0.22587985781595354,0.0012333318762590077,19
23.703220923741657,1.4835105054769195,1.4848164717356365,0.6705482264308884,0.3,3,128,"{'dropout_rate': 0.3, 'hidden_layers': 3, 'neurons': 128}",-0.2242422051973213,-0.22078806303309004,-0.22500795753142114,-0.22334607525394415,0.001835604178615152,11
23.41161870956421,3.9435784952100366,1.7651645342508953,0.4838680448853387,0.3,4,32,"{'dropout_rate': 0.3, 'hidden_layers': 4, 'neurons': 32}",-0.2332167152072752,-0.23229857979701718,-0.24009446158252734,-0.23520325219560656,0.003478859018693611,27
17.588796138763428,0.3171206566110386,1.224352280298869,0.6508473588079555,0.3,4,64,"{'dropout_rate': 0.3, 'hidden_layers': 4, 'neurons': 64}",-0.22639561946170242,-0.2265196213704507,-0.2284063426655586,-0.22710719449923725,0.0009200302846049538,23
25.129921515782673,0.1639941751396905,0.9635531107584635,0.35687661138677773,0.3,4,128,"{'dropout_rate': 0.3, 'hidden_layers': 4, 'neurons': 128}",-0.22275750293262198,-0.22332543490372603,-0.22453195103379375,-0.22353829629004726,0.0007398869252698805,13
